V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,27.0,5.0,22.0,0.0,1694074632.0
,27.0,5.0,22.0,0.0,1694074897.0
,23.0,4.0,19.0,4.0,1694075160.0
,14.0,3.0,11.0,13.0,1694075429.0
,14.0,3.0,11.0,13.0,1694075955.0
,13.0,3.0,10.0,14.0,1694075955.0
,13.0,3.0,10.0,14.0,1694076221.0
,15.0,3.0,12.0,12.0,1694076749.0
,19.0,4.0,15.0,8.0,1694077012.0
,18.0,3.0,15.0,8.0,1694077276.0
,18.0,4.0,14.0,9.0,1694077541.0
,15.0,4.0,11.0,12.0,1694077806.0
,15.0,4.0,11.0,12.0,1694078072.0
,16.0,4.0,12.0,11.0,1694078603.0
,15.0,4.0,11.0,12.0,1694078868.0
,16.0,4.0,12.0,11.0,1694079133.0
,16.0,4.0,12.0,11.0,1694079398.0
,16.0,4.0,12.0,11.0,1694079662.0
,17.0,4.0,13.0,10.0,1694079927.0
,17.0,4.0,13.0,10.0,1694080191.0
,16.0,4.0,12.0,11.0,1694080719.0
,16.0,4.0,12.0,11.0,1694080984.0
